Sale_ID,Dealership_City,Brand,Model,Fuel_Type,Transmission,Color,Segment,Customer_Age,Gender,Ex_Showroom_Price,Discount_INR,Finance_Type,EMI_Months,Test_Drive_Taken,Trade_In_Vehicle,Customer_Rating,Repeat_Buyer,Sale_Date,Salesperson_ID,Accessories_Added,Waiting_Days
CAR30000,Gujarat,Kia,Swift,DIESEL,AUTOMATIC,Black,MUV, 25,male,3000000,10000,EMI,24,NO,no,5,yes,4-10-2024,SP109,No,21
CAR30001,Uttar Pradesh,Skoda,Seltos,Hybrid,CVT,Silver,Luxury,56.0,male,1500000.0,₹0,Cash,60,yes,Yes,NA,Y,23.8.2021,SP119,1,7
CAR30002,Telangana,Volkswagen,Nexon,Petrol,AMT,Silver,MUV,54.0,M,1200000,10000,EMI,72,no,Y,5,Yes,6/6/2021,SP113,Y,7 days
CAR30003,Maharashtra,Toyota,i20,Electric,CVT,white,Luxury,43,F,"₹2,500,000",₹10000,emi,72,YES,0,5,N,10-1-2022,SP118,yes,30
CAR30004,Andhra Pradesh,Toyota,EcoSport,Diesel,CVT,White,MUV,36,F,900000.0,25000,bank loan,48,Yes,N,3,No,2023-02-28,SP104,No,30 days
CAR30005,Uttar Pradesh,MG,Seltos,petrol,AMT,Red,Mid-Range,58.0,female,900000,₹50000,emi,12,NO,YES,3,Yes,23/12/2024,SP112,0,60
CAR30006,Maharashtra,Tata Motors,Swift,electric,Manual,Silver,sedan,39,female,900000,₹10000,CASH,48 months,no,no,,Y,12-2-2024,SP105,yes,45
CAR30007,Madhya Pradesh,Maruti Suzuki,Swift,Diesel,Automatic,SILVER,SUV,41,F,2000000,100000,EMI,36 months,Yes,yes,NA,YES,2022-08-01,SP116,No,21
CAR30008,Maharashtra,Volkswagen,EcoSport,Hybrid,AUTOMATIC,White,suv,46,F,Rs.1500000,₹50000,Leasing,24,NO,No,3,Y,19/02/2019,SP115,Yes,0
CAR30009,Tamil Nadu,Maruti Suzuki,City,cng,Manual,SILVER,Sedan,26.0,Male,3000000.0,₹10000,bank loan,36 months,Yes,1,3,Y,13.5.2021,SP106,Yes,0
CAR30010,West Bengal,Mahindra,Slavia,Petrol,amt,Black,MUV,40.0,Female,500000,75000,CASH,48 months,no,No,5,Yes,2021-07-27,SP104,0,7 days
CAR30011,Andhra Pradesh,Toyota,Hector,Diesel,AMT,Black,Mid-Range,43,male,1500000,25000,CASH,NA,N,No,3,no,21/09/2020,SP101,no,7
CAR30012,Madhya Pradesh,MG,Swift,CNG,amt,red,hatchback,56,male,1200000,75000,Cash,60,N,Y,5,YES,26.1.2020,SP118,1,7 days
CAR30013,Bihar,Renault,EcoSport,CNG,AMT,white,Budget,36,male,2500000,10000,bank loan,36,Yes,N,5,Yes,2022-09-07,SP105,yes,21
CAR30014,Karnataka,Hyundai,i20,DIESEL,Automatic,red,SUV,29,Male,700000,₹25000,Cash,48 months,YES,Yes,5,N,6/24/2021,SP116,YES,0
CAR30015,Maharashtra,Volkswagen,Scorpio,DIESEL,amt,red,sedan,56.0,female,1500000,₹50000,emi,NA,NO,No,5,YES,2021-11-11,SP104,N,0
CAR30016,Bihar,Hyundai,Nexon,cng,AMT,Red,Budget,52.0,Female,Rs.900000,100000,bank loan,48 months,Y,no,5,NO,22/07/2022,SP103,YES,30 days
CAR30017,Telangana,Honda,Slavia,electric,AMT,Blue,Hatchback,58.0,Female,1500000.0,₹10000,Cash,12,0,Yes,5,no,2024-05-26,SP117,1,7
CAR30018,Kerala,Honda,EcoSport,CNG,Automatic,white,Luxury,37.0,F,1500000,100000,Bank Loan,36 months,Y,Y,3,no,3/25/2024,SP117,Yes,NA
